3	75.06	12.2575
3	71.93	12.3778
3	71.01	13.1162
3	72.75	13.9876
3	71.32	14.7646
3	71.21	15.7046
3	72.92	16.4224
3	73.66	17.1184
3	72.81	17.9016
3	71.83	18.7888
2	76.29	144.2471
2	75.18	144.1412
2	73.68	138.6285
2	75.64	139.1063
2	73.56	142.3753
2	74.6	138.9053
2	72.97	143.5511
2	75.11	137.4276
2	73.41	145.4795
2	75.28	139.5579
1	72.84	28.7744
1	71.8	12.5652
1	71.73	12.5732
1	71.57	31.1944
1	72.6	12.5652
1	72.09	12.5732
1	71.86	33.7372
1	71.72	12.5652
1	71.96	12.5732
1	71.69	36.5974
0	73.32	11.9986
0	73.07	11.1266
0	73.18	12.005
0	72.75	40.0702
0	72.83	11.015
0	74.08	12.005
0	73.38	11.1266
0	72.9	43.5794
0	72.98	12.005
0	72.28	11.1266
